CD_NOM	PLUS_RECENTE_DIFFUSION	CD_NOM_REMPLACEMENT	CD_RAISON_SUPPRESSION	RAISON_SUPPRESSION
8297	7.0	235139	1	cd_nom de remplacement à utiliser.
8303	7.0	241882	1	cd_nom de remplacement à utiliser.
8311	7.0	241897	1	cd_nom de remplacement à utiliser.
8387	7.0	8402	1	cd_nom de remplacement à utiliser.
8580	7.0	222906	1	cd_nom de remplacement à utiliser.
8581	7.0	222907	1	cd_nom de remplacement à utiliser.
8629	7.0	222932	1	cd_nom de remplacement à utiliser.
8634	7.0	222931	1	cd_nom de remplacement à utiliser.
8687	7.0	716248	1	cd_nom de remplacement à utiliser.
8709	7.0	222829	1	cd_nom de remplacement à utiliser.
8741	7.0	222699	1	cd_nom de remplacement à utiliser.
8743	7.0	251093	1	cd_nom de remplacement à utiliser.
8758	7.0	222724	1	cd_nom de remplacement à utiliser.
8797	7.0	222359	1	cd_nom de remplacement à utiliser.
8947	7.0	403745	1	cd_nom de remplacement à utiliser.
8956	2.0		3	cd_nom à supprimer : enregistrement ambigü à revoir dans les données.
8958	7.0	234888	1	cd_nom de remplacement à utiliser.
9035	7.0	239260	1	cd_nom de remplacement à utiliser.
9037	7.0	235191	1	cd_nom de remplacement à utiliser.
9138	8.0		2	cd_nom non diffusé mais toujours existant : taxon diffusé à tort, non présent et jamais mentionné en France
9162	7.0	222611	1	cd_nom de remplacement à utiliser.
9176	5.0	236116	1	cd_nom de remplacement à utiliser.
9240	7.0	222443	1	cd_nom de remplacement à utiliser.
9265	7.0	222482	1	cd_nom de remplacement à utiliser.
9269	7.0	222483	1	cd_nom de remplacement à utiliser.
9273	7.0	222489	1	cd_nom de remplacement à utiliser.
9413	7.0	222308	1	cd_nom de remplacement à utiliser.
9430	9.0	9429	1	cd_nom de remplacement à utiliser.
9459	8.0	223651	1	cd_nom de remplacement à utiliser.
9465	7.0	223422	1	cd_nom de remplacement à utiliser.
9550	7.0	223438	1	cd_nom de remplacement à utiliser.
9660	7.0	244115	1	cd_nom de remplacement à utiliser.
9816	7.0	243082	1	cd_nom de remplacement à utiliser.
9817	7.0	243093	1	cd_nom de remplacement à utiliser.
9818	7.0	243113	1	cd_nom de remplacement à utiliser.
9820	7.0	243072	1	cd_nom de remplacement à utiliser.
9834	5.0	348287	1	cd_nom de remplacement à utiliser.
9840	7.0	252973	1	cd_nom de remplacement à utiliser.
9844	7.0	243105	1	cd_nom de remplacement à utiliser.
9866	7.0	243166	1	cd_nom de remplacement à utiliser.
9879	7.0	243146	1	cd_nom de remplacement à utiliser.
9919	7.0	242975	1	cd_nom de remplacement à utiliser.
9977	7.0	243282	1	cd_nom de remplacement à utiliser.
9993	7.0	243353	1	cd_nom de remplacement à utiliser.
9996	7.0	243225	1	cd_nom de remplacement à utiliser.
10009	7.0	244046	1	cd_nom de remplacement à utiliser.
10012	7.0	243548	1	cd_nom de remplacement à utiliser.
10013	7.0	253047	1	cd_nom de remplacement à utiliser.
10016	7.0	243507	1	cd_nom de remplacement à utiliser.
10019	7.0	243447	1	cd_nom de remplacement à utiliser.
10021	7.0	253037	1	cd_nom de remplacement à utiliser.
10022	7.0	243513	1	cd_nom de remplacement à utiliser.
10024	7.0	243518	1	cd_nom de remplacement à utiliser.
10026	7.0	243525	1	cd_nom de remplacement à utiliser.
10029	7.0	243523	1	cd_nom de remplacement à utiliser.
10031	7.0	243552	1	cd_nom de remplacement à utiliser.
10033	7.0	253045	1	cd_nom de remplacement à utiliser.
10034	7.0	243530	1	cd_nom de remplacement à utiliser.
