"id_synthese";"id_source";"id_module";"entity_source_pk_value";"id_dataset";"id_nomenclature_geo_object_nature";"id_nomenclature_grp_typ";"grp_method";"id_nomenclature_obs_technique";"id_nomenclature_bio_status";"id_nomenclature_bio_condition";"id_nomenclature_naturalness";"id_nomenclature_exist_proof";"id_nomenclature_valid_status";"id_nomenclature_diffusion_level";"id_nomenclature_life_stage";"id_nomenclature_sex";"id_nomenclature_obj_count";"id_nomenclature_type_count";"count_min";"count_max";"cd_nom";"cd_hab";"nom_cite";"meta_v_taxref";"sample_number_proof";"digital_proof";"non_digital_proof";"altitude_min";"altitude_max";"depth_min";"depth_max";"place_name";"latitude";"longitude";"id_area_attachment";"date_min";"date_max";"validator";"validation_comment";"observers";"determiner";"id_digitiser";"id_nomenclature_determination_method";"comment_context";"comment_description"
;66;;"82862782";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;187499;;"Basidiomycota";"TaxRef v14";;"https://www.inaturalist.org/observations/82862782";;;;;;"Saül, GF-SL, GF";"3.6106089435";"-53.2361037366";;23/3/2021 00:00:00;23/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Chapeau orangé, convexe, marge lisse. Lames alternées avec lamelles et lamellules, blanche. Alternance marquée. Pied grêle. Saprotrophe lingo cellulosique"
;66;;"82862932";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;187499;;"Basidiomycota";"TaxRef v14";;"https://www.inaturalist.org/observations/82862932";;;;;;"Saül, GF-SL, GF";"3.6102922426";"-53.236237145";;23/3/2021 00:00:00;23/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Plis décurrents. Chapeau 7 cm plat à marge dentelée. Stipe de 13 cm charnu"
;66;;"82863095";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;187499;;"Basidiomycota";"TaxRef v14";;"https://www.inaturalist.org/observations/82863095";;;;;;"Saül, GF-SL, GF";"3.6104618362";"-53.2362937927";;23/3/2021 00:00:00;23/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Chapeau pointu. Marge crénelée. Lames libres. Saprotrophe ligno cellulosique"
;66;;"82863227";53;169;129;;58;;151;155;77;314;140;1;161;141;90;;;99902231;;"Clavaria schaefferi";"iNaturalist";;"https://www.inaturalist.org/observations/82863227";;;;;;"Saül, GF-SL, GF";"3.6099154579";"-53.2369781261";;23/3/2021 00:00:00;23/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"Communauté iNaturalist";;456;;"Clavaria. Forêt primaire de plateau. Sur sol avec une bonne litière."
;66;;"82863377";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;99902230;;"Brunneocorticium corynecarpon";"iNaturalist";;"https://www.inaturalist.org/observations/82863377";;;;;;"Saül, Guyane française";"3.623365";"-53.2084819";;25/3/2021 00:00:00;25/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"Communauté iNaturalist";;456;;"Cheveux de la vierge, en milieu ouvert juste devant la maison du parc. Sur pelouse à proximité d'un petit citronnier de 3m50"
;66;;"82863427";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;187496;;"Fungi";"TaxRef v14";;"https://www.inaturalist.org/observations/82863427";;;;;;"Saül, GF-SL, GF";"3.6234221";"-53.2087199";;26/3/2021 00:00:00;26/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Alternance lame lamelles, insertion libre. Pied grêle. Chapeau pointu plus foncé au centre. Présent en forêt secondaire. De manière éparse sur plusieurs mètres carrés."
;66;;"82863627";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;196065;;"Phallus";"TaxRef v14";;"https://www.inaturalist.org/observations/82863627";;;;;;"Saül, GF-SL, GF";"3.6234301";"-53.2087403";;31/3/2021 00:00:00;31/3/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"Communauté iNaturalist";;456;;"Milieu ouvert, prairie entretenue. Au milieu des graviers."
;66;;"82863711";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;187496;;"Fungi";"TaxRef v14";;"https://www.inaturalist.org/observations/82863711";;;;;;"Saül, GF-SL, GF";"3.6226691297";"-53.2100221887";;3/4/2021 00:00:00;3/4/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Chapeau plat, brun à marge blanche. Pied grêle, face inférieur à pore"
;66;;"82863795";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;193979;;"Lepiota";"TaxRef v14";;"https://www.inaturalist.org/observations/82863795";;;;;;"Saül, GF-SL, GF";"3.6226356";"-53.210022";;3/4/2021 00:00:00;3/4/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Lames libres blanches, chapeau rose avec une collerette."
;66;;"82863992";53;169;129;;58;;151;155;77;314;140;1;161;141;90;;;804853;;"Marasmius haematocephalus";"TaxRef v14";;"https://www.inaturalist.org/observations/82863992";;;;;;"Saül, GF-SL, GF";"3.6226691297";"-53.2100221887";;3/4/2021 00:00:00;3/4/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"Communauté iNaturalist";;456;;"9 lames libres, chapeau convexe avec des plis, couleur violet sombre et lames plus claires. Pied grêle très fin"
;66;;"82877181";53;169;129;;58;;151;155;77;314;140;1;161;141;90;;;804383;;"Cookeina speciosa";"TaxRef v14";;"https://www.inaturalist.org/observations/82877181";;;;;;"Saül, GF-SL, GF";"3.6196058396";"-53.2078048092";;17/5/2021 00:00:00;17/5/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"Communauté iNaturalist";;456;;"Anciennes cookeina, largement développées (4 à 5 cm de diamètre)"
;66;;"82877282";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;187499;;"Basidiomycota";"TaxRef v14";;"https://www.inaturalist.org/observations/82877282";;;;;;"Saül, GF-SL, GF";"3.6189499744";"-53.2081791759";;17/5/2021 00:00:00;17/5/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Pied grêle, lames et lamelles alternées. Insertion des lames libre. Chapeau parapluie avec téton foncé.
Couleur : jaune orangé"
;66;;"82877484";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;437034;;"Marasmiaceae";"TaxRef v14";;"https://www.inaturalist.org/observations/82877484";;;;;;"Saül, GF-SL, GF";"3.6169287824";"-53.2092248359";;17/5/2021 00:00:00;17/5/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Absence de stipe. Couleur blanche. Chapeau en voile. Lames libres"
;66;;"82877571";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;187496;;"Fungi";"TaxRef v14";;"https://www.inaturalist.org/observations/82877571";;;;;;"Saül, GF-SL, GF";"3.6229722547";"-53.2046987034";;19/5/2021 00:00:00;19/5/2021 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;
;66;;"83425344";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;194954;;"Mycena";"TaxRef v14";;"https://www.inaturalist.org/observations/83425344";;;;;;"Saül, Guyane française";"3.6568027432";"-53.1816932741";;28/2/2020 00:00:00;28/2/2020 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Photo : Marcel Cambray
Champignon saprotrophe des feuilles.
Taille : 4 à 5 mm"
;66;;"83425504";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;192731;;"Géastres";"TaxRef v14";;"https://www.inaturalist.org/observations/83425504";;;;;;"Saül, Guyane française";"3.6793978634";"-53.2095796907";;28/2/2020 00:00:00;28/2/2020 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Photo : Marcel Cambray
"
;66;;"83426442";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;437046;;"Boletaceae";"TaxRef v14";;"https://www.inaturalist.org/observations/83426442";;;;;;"Saül, Guyane française";"3.6603892165";"-53.1844737344";;28/2/2020 00:00:00;28/2/2020 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Photo : Marcel Cambray 
Pores/Tubes sur la face inférieur. Chapeau rond qui fait penser à un cèpe.
Taille : 3 à 4 cm de diamètre, pied charnu"
;66;;"83426960";53;169;129;;58;;151;155;77;314;140;1;161;141;90;;;804886;;"Pleurotus djamor";"TaxRef v14";;"https://www.inaturalist.org/observations/83426960";;;;;;"Saül, Guyane française";"3.6104451527";"-53.2287252939";;22/2/2020 00:00:00;22/2/2020 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"Communauté iNaturalist";;456;;"Photo : Marcel Cambray 
Pleurotes roses."
;66;;"83427701";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;443193;;"Hymenochaete damaecornis";"TaxRef v14";;"https://www.inaturalist.org/observations/83427701";;;;;;"Saül, Guyane française";"3.6262294757";"-53.1683643769";;10/3/2020 00:00:00;10/3/2020 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Photo : Marcel Cambray 
Identification grâce aux récoltes de Gilles Corriol"
;66;;"83428009";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;192731;;"Géastres";"TaxRef v14";;"https://www.inaturalist.org/observations/83428009";;;;;;"Saül, GF-SL, GF";"3.6217436082";"-53.2053709027";;3/3/2020 00:00:00;3/3/2020 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Photo : Marcel Cambray"
;66;;"83428312";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;187496;;"Fungi";"TaxRef v14";;"https://www.inaturalist.org/observations/83428312";;;;;;"Saül, Guyane française";"3.6260977135";"-53.2067334538";;6/8/2018 00:00:00;6/8/2018 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Photo : Marcel Cambray 
Espèce saprotrophe, épaisse, aspect de meringue et texture idem."
;66;;"83428449";53;169;129;;58;;151;155;77;318;140;1;161;141;90;;;901747;;"Lachnocladium schweinfurthianum";"TaxRef v14";;"https://www.inaturalist.org/observations/83428449";;;;;;"Saül, Guyane française";"3.6196870296";"-53.2019812615";;9/3/2020 00:00:00;9/3/2020 00:00:00;"Communauté iNaturalist";;"arthur_brisse";"arthur_brisse";;456;;"Photo : Marcel Cambray"
