id_nomenclature;mnemonique;cd_nomenclature
404;METHO_RECUEIL;10
405;METHO_RECUEIL;11
406;METHO_RECUEIL;12
407;JDD_OBJECTIFS;1.1
536;EXPOSITION;ONO
408;JDD_OBJECTIFS;1.2
409;JDD_OBJECTIFS;1.3
410;JDD_OBJECTIFS;1.4
411;JDD_OBJECTIFS;1.5
412;JDD_OBJECTIFS;2.1
447;METH_DETERMIN;13
537;EXPOSITION;OSO
413;JDD_OBJECTIFS;2.2
414;JDD_OBJECTIFS;2.3
415;JDD_OBJECTIFS;2.4
416;JDD_OBJECTIFS;2.5
417;JDD_OBJECTIFS;3.1
418;JDD_OBJECTIFS;3.2
450;METH_DETERMIN;16
561;OCC_COMPORTEMENT;18
419;JDD_OBJECTIFS;3.3
538;EXPOSITION;S
420;JDD_OBJECTIFS;3.4
421;JDD_OBJECTIFS;3.5
422;JDD_OBJECTIFS;3.6
423;JDD_OBJECTIFS;3.7
424;JDD_OBJECTIFS;4.1
425;JDD_OBJECTIFS;4.2
426;JDD_OBJECTIFS;5.1
448;METH_DETERMIN;14
449;METH_DETERMIN;15
560;OCC_COMPORTEMENT;17
539;EXPOSITION;SE
540;EXPOSITION;SO
427;JDD_OBJECTIFS;5.2
428;JDD_OBJECTIFS;5.3
429;JDD_OBJECTIFS;5.4
486;TECHNIQUE_COLLECT_HAB;2.3
430;JDD_OBJECTIFS;5.5
431;JDD_OBJECTIFS;6.1
502;TECHNIQUE_COLLECT_HAB;8.2
432;JDD_OBJECTIFS;6.2
433;JDD_OBJECTIFS;6.3
434;JDD_OBJECTIFS;6.4
435;JDD_OBJECTIFS;7.1
436;JDD_OBJECTIFS;7.2
437;METH_DETERMIN;1
438;TYPE_SITE;CHI
439;TYPE_SITE;1
440;TYPE_SITE;2
441;TYPE_SITE;3
442;TYPE_SITE;4
443;TYPE_SITE;5
444;TYPE_SITE;6
445;TYPE_SITE;7
446;METH_DETERMIN;12
533;EXPOSITION;NNO
451;METH_DETERMIN;17
452;METH_DETERMIN;18
453;METH_DETERMIN;19
454;METH_DETERMIN;20
455;METH_DETERMIN;21
456;METH_DETERMIN;22
503;TECHNIQUE_COLLECT_HAB;8.3
457;STATUT_VALID;0
458;TYPE_MEDIA;2
459;TYPE_MEDIA;3
460;TYPE_MEDIA;4
461;TYPE_MEDIA;5
462;TYPE_MEDIA;6
463;TYPE_MEDIA;7
464;TYPE_MEDIA;8
465;TYPE_MEDIA;9
466;CONFID;1
467;CONFID;2
469;SOCIAB;2
470;SOCIAB;3
471;SOCIAB;4
472;SOCIAB;5
473;METHOD_CALCUL_SURFACE;es
474;METHOD_CALCUL_SURFACE;sig
475;METHOD_CALCUL_SURFACE;nsp
476;METHOD_CALCUL_SURFACE;lin
477;DETERMINATION_TYP_HAB;0
478;DETERMINATION_TYP_HAB;1
479;DETERMINATION_TYP_HAB;2
480;DETERMINATION_TYP_HAB;3
481;TECHNIQUE_COLLECT_HAB;0
482;TECHNIQUE_COLLECT_HAB;1
483;TECHNIQUE_COLLECT_HAB;2
484;TECHNIQUE_COLLECT_HAB;2.1
485;TECHNIQUE_COLLECT_HAB;2.2
487;TECHNIQUE_COLLECT_HAB;2.4
488;TECHNIQUE_COLLECT_HAB;3
489;TECHNIQUE_COLLECT_HAB;3.1
490;TECHNIQUE_COLLECT_HAB;3.2
491;TECHNIQUE_COLLECT_HAB;3.3
492;TECHNIQUE_COLLECT_HAB;3.4
493;TECHNIQUE_COLLECT_HAB;3.5
494;TECHNIQUE_COLLECT_HAB;3.6
495;TECHNIQUE_COLLECT_HAB;3.7
496;TECHNIQUE_COLLECT_HAB;4
497;TECHNIQUE_COLLECT_HAB;5
498;TECHNIQUE_COLLECT_HAB;6
499;TECHNIQUE_COLLECT_HAB;7
500;TECHNIQUE_COLLECT_HAB;8
501;TECHNIQUE_COLLECT_HAB;8.1
504;TECHNIQUE_COLLECT_HAB;8.4
505;TECHNIQUE_COLLECT_HAB;8.4.1
506;TECHNIQUE_COLLECT_HAB;8.4.2
507;TECHNIQUE_COLLECT_HAB;8.5
508;TECHNIQUE_COLLECT_HAB;9
509;TECHNIQUE_COLLECT_HAB;9.1
510;TECHNIQUE_COLLECT_HAB;9.2
511;TECHNIQUE_COLLECT_HAB;9.3
512;TECHNIQUE_COLLECT_HAB;9.4
534;EXPOSITION;NO
513;TECHNIQUE_COLLECT_HAB;9.5
514;TECHNIQUE_COLLECT_HAB;10
515;CA_OBJECTIFS;8
516;CA_OBJECTIFS;9
517;CA_OBJECTIFS;10
518;CA_OBJECTIFS;11
519;ABONDANCE_HAB;1
520;ABONDANCE_HAB;2
521;ABONDANCE_HAB;3
522;ABONDANCE_HAB;4
523;ABONDANCE_HAB;5
524;HAB_INTERET_COM;1
525;HAB_INTERET_COM;2
526;HAB_INTERET_COM;3
527;EXPOSITION;E
528;EXPOSITION;ENE
529;EXPOSITION;ESE
530;EXPOSITION;N
531;EXPOSITION;NE
532;EXPOSITION;NNE
542;EXPOSITION;SSO
543;OCC_COMPORTEMENT;0
